product_id,name,category,subcategory,price,brand,avg_rating,n_reviews,in_stock,description
1,Implemented directional methodology,Toys,Toys_5,23.2,"Bryant, Guzman and Thomas",4.9,4398,True,Out final wrong but you religious long.
2,Extended modular frame,Clothing,Clothing_2,330.51,"Levy, Brown and Patrick",2.4,362,False,Still decision run special red apply tend condition maintain.
3,Object-based exuding protocol,Beauty,Beauty_4,57.44,Ritter PLC,1.4,1818,True,Front question wrong serious hospital month executive recent crime task hour capital sell.
4,Reduced actuating strategy,Automotive,Automotive_3,198.61,Ellis-Martin,4.1,4821,True,Kind lot today decide source crime prepare gun task.
5,Customer-focused systematic toolset,Beauty,Beauty_1,243.97,Bennett Group,2.2,703,True,Unit benefit wind conference appear woman practice order wide.
6,Self-enabling uniform initiative,Books,Books_3,159.39,Johnson and Sons,2.8,1694,False,Major read west present heart reality somebody probably sing ten practice every president.
7,Multi-layered 24/7 capability,Beauty,Beauty_4,53.32,Miller Group,3.9,3706,True,Different only would look really behind or himself yourself reflect fear by foot research television.
8,Public-key contextually-based initiative,Clothing,Clothing_3,27.12,"Smith, Hawkins and Herrera",3.8,185,True,Major million once research so buy send whole today Congress out conference never song but.
9,De-engineered object-oriented database,Clothing,Clothing_2,465.31,"Martin, Hart and York",4.0,4227,True,Be by fear whom commercial with probably.
10,Fully-configurable exuding analyzer,Grocery,Grocery_2,168.84,"Conway, Carter and Ferguson",2.7,3785,True,Officer reason mission worry goal Mrs decide between standard.
11,Front-line 5thgeneration core,Toys,Toys_2,97.26,Evans and Sons,3.6,3240,True,Own democratic grow campaign performance avoid effort high tough.
12,Open-architected logistical artificial intelligence,Health,Health_2,227.54,Rhodes-Bentley,2.7,36,True,Movie audience run yet recent cover head price star.
13,Robust cohesive instruction set,Home & Kitchen,Home & Kitchen_3,377.4,Stewart Group,4.2,512,True,Ago page back by body nature at policy guy four event than.
14,Face-to-face even-keeled access,Grocery,Grocery_2,186.07,Bennett and Sons,1.8,933,True,Weight situation but money then open southern believe give occur example even.
15,Cross-platform actuating concept,Automotive,Automotive_5,483.13,Potts-Price,2.3,3183,False,South question small necessary think I or else rather require price central.
16,Re-contextualized user-facing flexibility,Health,Health_1,177.22,Sellers Ltd,4.4,1413,True,Religious eat participant religious consumer worry sometimes maybe every into walk thing.
17,Focused fault-tolerant productivity,Health,Health_5,46.95,Meza Group,1.5,965,True,Suddenly play baby drive behavior offer be experience upon space action way.
18,Synergistic multimedia superstructure,Sports,Sports_1,95.61,Castillo PLC,3.8,4184,False,Recently if pattern treat second research reflect see each school week statement they month participant.
19,Robust local concept,Toys,Toys_5,73.24,"Conrad, Gallagher and Mckee",2.5,1521,False,Avoid style message weight institution here health both trial.
20,Fully-configurable needs-based throughput,Grocery,Grocery_2,279.68,Roberts Group,3.0,1149,True,Enter able piece hour type upon where middle throw very throughout.
21,Pre-emptive analyzing help-desk,Beauty,Beauty_4,311.61,Gilbert LLC,4.5,78,False,Government accept three control great big man be method child buy.
22,Pre-emptive 24hour collaboration,Books,Books_2,408.53,"Wright, Ruiz and Brooks",4.9,4140,False,Into consider speech board just style class government its grow that cup.
23,Ergonomic executive analyzer,Toys,Toys_4,210.74,Foster Ltd,4.4,4003,True,Too civil current look professor entire inside nearly son research foot share.
24,Open-architected motivating success,Clothing,Clothing_5,20.28,"Cameron, Price and Rodriguez",4.0,2392,True,Society call general add range appear stop involve.
25,Right-sized user-facing access,Sports,Sports_2,271.12,Castillo-Campbell,1.7,3746,False,Set easy check memory economic short ten yes.
26,Fully-configurable static interface,Grocery,Grocery_5,61.04,Wells Inc,1.5,4449,True,Particularly country talk pick chance build husband event court certainly adult current ten herself.
27,Progressive fault-tolerant standardization,Grocery,Grocery_1,381.2,"Baird, Walker and Simmons",2.8,1790,False,Member popular fight especially exactly go individual floor.
28,Business-focused contextually-based analyzer,Clothing,Clothing_2,152.37,Williams Ltd,5.0,3684,True,Deep line training beyond continue way hair fight best add necessary technology.
29,Managed high-level support,Beauty,Beauty_1,222.34,Paul-Chapman,5.0,1941,True,He practice decide himself thought candidate sea build only treatment pressure couple relate understand avoid national.
30,Mandatory exuding success,Health,Health_3,431.22,Mayo-Harris,3.4,3507,True,Analysis court nearly education theory table trade window thus.
31,Organized responsive structure,Health,Health_2,393.5,Bartlett Inc,4.3,486,True,Industry use mean against out recent can animal not some really scientist however range.
32,Profound asynchronous concept,Grocery,Grocery_3,300.44,Christensen-Cruz,1.7,2397,True,Husband even contain civil design recent these so lay remain modern field detail.
33,Triple-buffered encompassing neural-net,Health,Health_3,476.44,Jackson Inc,3.1,780,True,Draw although challenge third until establish so politics eat statement movement ability girl painting hard.
34,Configurable tertiary neural-net,Toys,Toys_1,496.28,Bowen-Ortiz,4.5,1039,True,Far world personal action green room evidence eight administration price test voice on reveal read watch.
35,Function-based responsive productivity,Home & Kitchen,Home & Kitchen_2,357.14,"Pierce, Montoya and Walker",4.3,3217,False,Daughter picture teach house land role its chance look many least.
36,Enhanced content-based open system,Books,Books_5,318.04,Harding-White,3.5,3073,False,Again clear concern hour part attorney author early training wife beyond.
37,Progressive client-driven superstructure,Clothing,Clothing_1,204.41,Morrison Group,4.0,3023,False,Again step shake popular analysis eat base central physical add whom whatever blood.
38,User-centric global strategy,Automotive,Automotive_3,293.07,Harris Group,4.5,763,False,Throughout spring film look during myself environment myself again and name bill though indeed ability.
39,Face-to-face 4thgeneration emulation,Beauty,Beauty_1,398.86,Cruz-Gomez,2.6,3519,True,Difficult these his this state both college body big what ground.
40,Seamless full-range capability,Automotive,Automotive_3,164.82,Mclean-Gillespie,2.1,4483,True,Page concern most outside quickly change project.
41,Innovative regional forecast,Health,Health_4,395.21,Hutchinson-Nelson,4.6,396,True,Product usually specific represent baby able value chance pretty floor hospital return size long.
42,Cloned bifurcated orchestration,Clothing,Clothing_4,13.06,Moyer-Ramirez,4.7,1294,False,Follow camera should good management loss win own.
43,Sharable full-range challenge,Automotive,Automotive_1,495.96,"Dorsey, Reyes and Dunn",2.7,1080,True,Move mouth start his ok instead official really security reflect dog able yes admit next.
44,Devolved bifurcated approach,Books,Books_3,51.2,Ward-Atkinson,2.4,675,True,Far century table will tree drug still argue case.
